Tool,Platform,Encryption_Speed (ms),Decryption_Speed (ms),CPU_Usage (%),Memory_Usage (MB),Security_Level,Compatibility
DES,MacOS,2.69,1.09,29.31,281,High,Medium
DES,Linux,3.64,3.07,18.86,279.3,High,Medium
DES,Android,9.07,9.36,11.57,239.24,Low,Low
Blowfish,iOS,8.08,9.14,41.84,203.14,Low,Low
DES,MacOS,3.67,3.25,46.31,413.18,High,High
Blowfish,iOS,6.95,0.93,30.69,403.63,Low,High
ECC,iOS,9.16,9.18,44.22,297.92,Low,High
ECC,Windows,2.67,1.35,12.64,38.79,Medium,High
DES,MacOS,7.5,9.52,34.53,476.66,Low,High
RSA,Windows,7.94,4.25,37.69,455.95,High,Low
RSA,iOS,6.45,2.47,15.65,318.92,Medium,Medium
AES,Linux,2.84,2.47,43.15,80.18,Low,High
ECC,Windows,1.57,3.5,41.35,141.82,Low,Medium
Blowfish,MacOS,0.67,8.15,34.26,121.02,Low,Medium
ECC,Windows,2.45,8.08,37.83,258.8,Low,Medium
DES,Windows,2.71,6.01,25.33,414.12,Low,Medium
RSA,iOS,1.01,9.81,18.69,72.34,Low,Medium
RSA,Windows,6.99,5.87,32.06,63.26,High,High
AES,Linux,6.1,6.3,28.81,260.96,Low,Medium
RSA,iOS,8.46,0.8,38.98,256.39,High,Low
RSA,Windows,6.85,5.39,41.7,393.79,Medium,High
ECC,MacOS,2.02,3.96,37.44,396.54,High,High
AES,MacOS,5.21,2.9,38.1,315.07,High,Medium
Blowfish,Windows,1.47,3.18,8.29,300.48,Low,High
AES,Linux,5.29,6.32,11.12,338.59,Low,High
Blowfish,Windows,1.76,5.63,23.04,31.5,Medium,Medium
Blowfish,Android,6.44,8.73,15.83,78.75,Medium,Medium
DES,Android,4.19,7.1,34.73,482.27,Low,Low
RSA,Android,6.52,1.12,46.03,177.44,High,High
RSA,Windows,9.49,2.07,7.28,176.9,High,Medium
Blowfish,Linux,6.21,1.51,14.21,354.27,High,High
Blowfish,iOS,5.37,0.51,44.15,465.33,High,Low
RSA,MacOS,7.99,5.36,43.36,255.3,Medium,Medium
Blowfish,Android,6.43,6.93,18.21,86.45,Medium,Low
AES,Linux,8.34,2.02,27.19,116.2,High,Medium
AES,MacOS,2.45,0.88,31.83,327.35,Low,High
RSA,MacOS,8.39,8.12,49.09,371.47,Low,High
DES,MacOS,5.86,8.09,25.96,172.54,Low,Medium
AES,MacOS,3.47,9.51,8.71,245.35,High,Low
ECC,MacOS,3.27,4.42,23.76,274.62,Medium,High
RSA,Android,1.93,6.1,33.69,194.69,High,High
Blowfish,Linux,8.04,9.38,38.29,298.76,Low,Medium
AES,iOS,4.95,4.22,47.37,234.99,Low,Low
Blowfish,Android,4.7,6.21,23.86,128.54,High,Medium
RSA,Windows,1.5,6.35,42.65,297.54,Low,Low
Blowfish,iOS,2.3,6.69,28.95,306.03,High,Low
DES,Linux,1.07,1.57,39.05,381.47,Low,Low
ECC,Windows,5.1,5.75,47.11,322.42,High,High
AES,Windows,0.91,4.96,45.95,178.22,High,Medium
ECC,iOS,9.84,6.88,15.32,15.64,Low,Medium
RSA,iOS,9.64,3.35,37.45,381.9,High,Medium
AES,Windows,4.48,3.4,24.81,432.12,Low,Low
DES,Linux,4.52,5.76,27.45,232.03,Low,Medium
DES,MacOS,3.87,9.63,35.64,253.25,Medium,Medium
Blowfish,iOS,1.52,2.77,32.73,320.46,Low,High
DES,Linux,5.66,7.8,32.52,403.1,High,Low
ECC,Windows,9.01,7.14,7.6,127.48,Low,Low
AES,Linux,2.91,2.93,9.59,291.51,High,Low
RSA,Windows,2.44,6.75,6.15,387.47,Medium,Medium
Blowfish,Linux,5.76,7.59,22.87,463.05,Low,Medium
ECC,Android,3.64,2.51,15.2,340.42,High,High
AES,Android,4.85,2.35,33.4,72.82,Medium,Medium
RSA,iOS,4.35,2.44,13.48,239.16,High,Low
RSA,iOS,8.16,3.85,40.9,285.86,Low,Low
AES,MacOS,2.46,8.17,39.09,49.76,Medium,High
DES,MacOS,7.84,6.81,36.24,441.97,Medium,Medium
RSA,Windows,3.24,9.93,5.51,480.57,Medium,Medium
ECC,Linux,6.71,4.93,45.03,287.57,Low,High
AES,iOS,5.21,9.66,29.69,89.27,High,High
AES,Android,6.34,9.56,37.86,297.71,Low,Low
DES,iOS,4.71,2.67,5.63,378.35,High,Low
DES,MacOS,6.27,2.5,24.18,389.43,Low,High
Blowfish,Linux,2.56,3.6,8.17,56.25,High,Medium
AES,iOS,9.51,8.25,12.17,365.51,High,Medium
Blowfish,Windows,4.44,0.92,10.7,376.92,Low,Low
ECC,Windows,0.51,1.92,29.14,210.43,Medium,Medium
DES,Android,8.33,8.06,27.01,60.54,Low,Medium
Blowfish,Windows,3.67,6.08,40.08,114.12,Low,Medium
ECC,MacOS,3.37,9.53,46.9,471.88,Low,High
RSA,iOS,3.27,7.28,8.61,317.03,Medium,High
AES,MacOS,9.83,1.49,48.09,472.16,High,Low
AES,iOS,1.93,8.51,9.66,91.96,Low,High
RSA,Windows,9.64,8.09,40.83,353.48,Medium,Low
AES,Android,1.04,1.93,28.76,21.95,Low,High
Blowfish,Android,6.6,2.77,14.11,280.36,Medium,Low
DES,Windows,8.93,7.59,41.45,37.75,High,High
DES,Linux,9.66,8.15,23.12,402.43,Low,Medium
ECC,Android,4.65,6.17,29.89,297.23,Low,Low
Blowfish,iOS,9.26,5.37,26.67,376.83,Medium,High
ECC,Windows,3.01,6.3,22.65,22.72,Low,Medium
RSA,Windows,8.53,0.92,42.1,125.15,High,Low
DES,Windows,2.78,2.39,7.49,342.71,Low,Low
DES,MacOS,7.31,6.92,5.55,245.62,High,Medium
DES,Linux,6.72,1.58,7.67,134.51,Low,Medium
AES,iOS,9.72,2.22,44.08,498.54,Medium,Low
DES,iOS,8.19,1.21,14.41,480.84,High,High
RSA,Android,1.68,7.88,44.9,215.35,High,Medium
Blowfish,MacOS,9.92,9.17,25.81,390.34,Medium,Low
AES,Windows,7.55,5.03,15.17,313.64,Medium,Medium
Blowfish,MacOS,9.26,5.65,44.21,388.45,Medium,Medium
Blowfish,Linux,6.75,8.44,11.57,427.87,Low,Low
Blowfish,Android,5.2,0.93,6.78,31.69,Low,High
RSA,Linux,5.7,1.17,48.89,327.16,High,High
AES,Android,9.82,9.07,44.15,259,Medium,High
ECC,Windows,8.59,4.87,38.98,184.34,High,Medium
Blowfish,Linux,9.63,3.27,20.18,104.41,High,High
Blowfish,Linux,9.79,7.56,14.69,346.45,High,Low
DES,MacOS,7.82,6.04,24.09,154.36,Medium,High
DES,Linux,8.22,4.86,21.04,396.69,Low,Medium
RSA,Linux,3.88,2.68,41.14,135.07,Low,Low
Blowfish,iOS,2.29,0.99,41.21,212.83,High,Low
DES,iOS,3.22,4.83,17.98,184.44,High,Medium
RSA,iOS,5.22,9.75,39.79,385.89,Medium,Medium
RSA,Linux,9.45,8.6,47.69,132.36,Low,High
AES,Windows,7.03,9.77,7.47,284.93,Low,High
ECC,Linux,8.26,2.06,17.78,290.21,Low,Low
RSA,iOS,3.03,2.68,40.62,18.66,Low,Low
Blowfish,Windows,4.41,2.94,34.89,303.11,High,Medium
RSA,MacOS,9.78,5.69,29.38,287.77,High,High
Blowfish,iOS,9.78,5.11,49.41,122.7,High,High
AES,Linux,6.09,5.37,37.64,82.91,Medium,Low
RSA,Windows,3.23,5.49,6.6,73.32,High,Medium
Blowfish,Windows,9.26,2.77,15.24,59.78,High,Medium
RSA,Linux,4.47,8.03,16.47,193.82,Low,High
DES,Windows,9.36,2.77,45.46,430.38,Medium,Medium
Blowfish,iOS,6.38,3.68,26.41,274.2,Low,Medium
RSA,MacOS,5.14,7.15,6.49,236.44,High,Low
ECC,Windows,3.84,9.05,27.06,176.04,Medium,Medium
Blowfish,Android,2.39,1.4,42.76,209.02,Medium,Medium
DES,iOS,6.13,7.01,34.13,465.49,Medium,Medium
AES,Windows,9.54,8.66,14.49,237.54,Low,High
Blowfish,Android,5.68,7.34,14.06,291.01,Medium,Medium
AES,iOS,0.98,1.18,36.41,343.11,Medium,Medium
ECC,Linux,3.55,9.92,42.97,446.51,Low,High
Blowfish,Windows,5.45,0.75,7.11,310.85,High,High
DES,Windows,5.11,4.09,16.73,97.23,Low,Low
DES,iOS,4.1,6.91,42.62,279.25,Medium,High
RSA,MacOS,1.14,6.1,34.88,56.83,Low,High
Blowfish,MacOS,8.88,8.69,36.32,101.36,Low,Medium
Blowfish,MacOS,4.65,4.07,29.54,167.41,High,High
DES,Linux,1.17,3.75,24.47,17.41,Low,Medium
AES,Android,4.09,6.01,16.5,216.04,High,High
RSA,Android,2.37,2.25,9.03,38.68,High,Medium
DES,iOS,6.33,1.33,13.31,357.21,High,Low
RSA,MacOS,8.55,8.11,35.37,306.78,Low,Low
AES,iOS,5.58,5.05,27.15,477.32,High,High
ECC,iOS,6.53,0.85,19.98,93.11,Medium,Low
ECC,MacOS,9.18,2.97,15.44,257.37,High,Low
AES,Windows,9.8,3.11,40.57,97.03,High,Medium
ECC,Windows,3.92,5.76,11.48,190.85,Medium,Medium
DES,Android,4.14,9.5,21.19,33.85,Medium,Medium
Blowfish,Android,9.64,1.42,32.91,21,Low,High
AES,iOS,4.05,4.19,48.28,378.49,Medium,High
AES,iOS,0.89,8.03,36.41,277.13,Low,Medium
RSA,iOS,4.47,8.18,17.21,483,High,High
DES,Linux,6.89,1.05,21.53,314.22,High,High
DES,Windows,6.44,4.4,11.78,294.32,Low,Low
Blowfish,iOS,6.32,4.4,26.84,249.38,Medium,High
AES,Android,7.6,7.64,39.32,235.55,Medium,High
DES,Windows,4.02,8.15,45.64,441.18,High,High
ECC,Android,4.72,9.51,43.83,172.26,Low,Medium
RSA,Windows,4.46,9.69,7.96,149.45,High,High
DES,MacOS,7.91,5.9,35.46,372.08,Low,High
DES,iOS,6.88,1.23,38.64,471.66,High,High
DES,Android,9.53,1.77,7.14,489.17,High,High
ECC,MacOS,7.59,6.28,17.28,52.46,Low,Low
AES,Windows,5.1,1.21,12.84,139.38,Low,Low
DES,Android,3.29,6.63,12.19,323.78,High,Low
ECC,Linux,8.68,3.09,20.68,163.05,Low,High
AES,Android,3.95,0.67,17.82,258.36,Low,High
AES,Android,1.8,2.3,25.33,342.87,High,Low
ECC,MacOS,9.15,7.73,36.06,311.33,Low,Medium
RSA,Android,4.16,3.23,43.18,272.77,High,Low
AES,Windows,9.12,2.81,20.87,179.94,High,Medium
AES,Android,8.72,3.35,12.94,246.36,Medium,Low
Blowfish,Linux,4.1,2.52,7.48,56.69,High,High
AES,Windows,6.58,1.43,10.25,268.09,Low,Low
AES,iOS,8.42,3.42,22.11,459.36,High,Low
ECC,iOS,3.88,5.44,33.61,365.78,Medium,High
ECC,iOS,3.56,3.18,8.44,384.05,Medium,High
ECC,Android,6.18,9.28,43.85,362.79,High,Low
DES,MacOS,1.01,6.3,9.39,194.89,Medium,Low
ECC,Windows,4.68,6.47,12.22,40.26,Medium,High
AES,Android,1.82,9.22,16.6,334.57,Medium,Medium
Blowfish,MacOS,7.02,2.49,25.61,22.05,Medium,High
ECC,iOS,6.5,6.85,38.09,360.6,Medium,Low
RSA,Linux,3.91,2.9,10.73,181.31,Low,Medium
RSA,Linux,8.75,7.02,16.79,67.06,Low,Low
RSA,Android,1.64,7.88,36.38,106.13,Low,Medium
ECC,iOS,6.96,1.42,46.62,255.05,Low,Medium
DES,Android,0.93,1.4,33.26,76.54,Low,Medium
DES,Windows,9.1,5.8,45.78,248.02,Low,Low
ECC,iOS,1.95,5.59,8.8,342.66,Low,High
Blowfish,Android,6.14,3.63,8.67,388.8,Medium,Low
Blowfish,Android,3.03,2.96,7.87,473.43,Low,Low
RSA,iOS,7.1,8.74,45.17,148.67,High,Low
ECC,iOS,7.89,3.34,39.54,399.97,High,High
Blowfish,Windows,7.03,6.04,8.31,66.92,High,Medium
RSA,iOS,6.41,1.71,15.25,380.83,Medium,High
DES,MacOS,0.9,8.38,20.41,152,Medium,High
Blowfish,Windows,5.3,0.59,8.82,328.45,Medium,Medium
Blowfish,Windows,3.54,3.14,36.33,22.55,Medium,High
Blowfish,MacOS,9.35,3.99,25.55,450.28,Low,High
RSA,iOS,6.78,4.16,19.7,266.46,High,High
ECC,iOS,3.96,1.74,30.27,168.65,High,Medium
AES,iOS,0.99,3.89,21.88,262.96,Medium,High
ECC,Windows,3.2,3.58,27.3,341.34,Medium,Medium
Blowfish,Windows,2,9.74,25.24,134.59,High,High
DES,Windows,9.72,5.84,18.08,248.89,Medium,Low
RSA,Android,5.42,5.99,38.16,404.33,High,Medium
AES,Windows,8.74,3.83,49.57,266.61,High,Medium
AES,Linux,7.82,2.42,42.69,305.44,Low,High
ECC,Android,1.82,2.81,35.59,321.05,Medium,Low
RSA,Windows,5.3,7.64,9.28,490.79,High,High
DES,Windows,5.81,5.53,16.05,31.54,Medium,Low
RSA,MacOS,3.46,6.11,47.87,446.83,High,High
ECC,iOS,1.22,3.24,39.2,230.6,Low,High
DES,MacOS,7.2,3.59,23.9,468.42,Low,Low
DES,Windows,6.61,7.44,28.9,226.44,Medium,Medium
RSA,iOS,7.58,2.1,26.26,308.09,Low,High
RSA,Linux,5.13,5.94,33.95,325.1,Medium,Low
Blowfish,Android,8.52,1.65,8.99,27.88,Medium,Low
Blowfish,iOS,2.8,9.21,20.45,132.05,Medium,High
DES,Android,5.59,0.58,13.47,34.26,High,Medium
ECC,Linux,0.62,4.15,5.97,25.03,Low,Medium
ECC,Android,7.79,3.14,5.92,65.63,High,Low
ECC,Linux,7.57,3.31,15.41,75.4,High,Medium
RSA,Windows,6.32,5.84,7.41,290.71,High,High
Blowfish,Linux,5.92,4.97,10.62,472.62,High,Medium
AES,Linux,1.68,3.7,42.89,253.08,High,High
Blowfish,Windows,9.63,1.64,13.14,179.61,High,Low
AES,Windows,2.23,7.2,9.42,426.46,High,Medium
DES,Windows,4.64,5.68,13.01,48.81,Medium,Medium
DES,Linux,5.72,7.89,33.34,79.66,High,High
AES,Linux,3.66,4.91,41.15,150.63,Medium,High
AES,MacOS,9.29,9.18,22.11,144.83,Medium,High
DES,Android,7.37,7.03,25.08,103.15,Low,High
RSA,iOS,6.33,9.18,35.28,326.67,Medium,Medium
AES,MacOS,9.77,6.1,13.43,14.65,High,High
DES,Windows,4.21,6.07,42.74,452.68,High,Low
DES,Windows,4.35,5.22,16.46,99.59,High,Low
ECC,Windows,4.94,6.05,23.79,24.01,High,High
AES,iOS,8.59,8.62,11.64,71.26,Low,High
Blowfish,Android,3.2,5.3,35.07,82.66,High,Low
Blowfish,Android,3.45,7.18,13.31,252.32,Low,Low
Blowfish,iOS,7.99,6.59,34.22,262.61,Medium,High
ECC,Android,6.61,8.93,32.39,458.52,Medium,High
AES,Linux,1.1,3.77,41.94,483.04,Medium,Low
DES,MacOS,7.46,2.8,32.91,128.02,Low,High
Blowfish,MacOS,2.33,0.6,37.24,116.11,Low,Low
AES,iOS,4.95,4.09,35.98,321.04,Low,Medium
DES,Linux,6.75,7.39,36.94,130.95,Low,High
DES,Windows,4.17,5.72,25.72,450.85,High,High
ECC,MacOS,7.39,6.38,38.36,280.96,High,Medium
Blowfish,Linux,8.44,1.15,20.5,403.01,High,Medium
ECC,Linux,2.91,0.66,10.8,465.41,Medium,Low
DES,Windows,5.15,3.78,37.06,340.72,High,High
RSA,MacOS,0.97,2.02,44.91,320.36,High,High
AES,Windows,4.11,0.82,38.64,131.13,High,Low
AES,Android,3.68,0.5,25.17,128.33,Low,Medium
DES,MacOS,6.9,4.41,22.52,344.33,High,High
AES,MacOS,4.13,4.02,24.58,425.71,Low,Medium
RSA,Android,0.81,8.28,40.03,12.23,Medium,Low
RSA,iOS,2.9,4.44,38.83,44.33,Medium,Medium
RSA,Windows,7.55,6.08,11.78,400.15,Medium,High
AES,Android,4.21,0.67,12.2,444.36,Medium,Low
ECC,Android,5.07,7.16,36.99,168.27,Medium,High
Blowfish,MacOS,1.41,5.7,47.94,435.22,High,Low
AES,MacOS,8.97,7.12,41.01,66.93,Low,High
RSA,iOS,1.34,1.99,26.23,457.94,Medium,Low
RSA,Windows,4.4,7.16,24.66,489.11,Low,High
RSA,Linux,3.25,8.29,7.23,71.28,High,Low
Blowfish,Linux,9.32,7.83,32.24,359.78,Low,Low
RSA,Linux,3.14,7.16,42.45,55.56,High,High
ECC,iOS,5.02,1.65,29.39,383.55,Medium,Medium
RSA,Linux,1.4,9.27,16.56,313.83,Low,Low
DES,iOS,4.65,5.63,21.34,68.23,Medium,Low
Blowfish,Android,4.3,5.61,17.8,62.04,Low,Medium
Blowfish,MacOS,3.27,8.92,5.89,49.01,High,Low
RSA,Linux,7.88,8.23,44.04,233.7,Medium,Medium
RSA,Windows,8.88,6.2,32.08,218.11,Low,Medium
RSA,iOS,2.56,1.23,37.68,414.67,High,Low
RSA,Linux,6.02,8.73,29.1,127.56,Low,Low
ECC,MacOS,2.48,3.27,46.6,147.12,High,Low
ECC,MacOS,9.51,1.61,15.97,365.04,Medium,Low
ECC,Android,7.48,7.34,27.98,455.07,Medium,Medium
ECC,iOS,6.37,7.05,25.87,190.73,Low,High
AES,Linux,4.96,5.7,14.8,459.66,Low,High
DES,Windows,2.29,6.65,15.42,464.17,Medium,High
ECC,Linux,5.55,7.46,47.21,373.89,High,High
Blowfish,Windows,5.05,1.57,6.21,251.13,High,Medium
ECC,Linux,1.23,0.74,21.79,217.56,Low,High
RSA,Android,6.77,5.06,49.12,152.24,Low,Medium
DES,MacOS,2.68,3.7,22.2,25.55,Medium,Low
ECC,iOS,0.83,1.83,12.91,44.26,High,Low
ECC,Windows,3.43,9.76,14.42,335.31,High,Medium
DES,Android,5.68,3.99,35.94,234.56,Medium,Medium
AES,Windows,5.81,5.4,39.82,47.98,Medium,High
AES,Android,1.05,1.46,38.32,230.24,High,High
AES,Windows,2.41,0.54,48.05,198.64,High,High
DES,Android,5.6,4.74,29.34,234.27,Medium,High
DES,MacOS,1.78,8.75,18.54,480.31,Medium,High
Blowfish,iOS,7.64,7.37,9.5,112.66,High,Medium
Blowfish,iOS,8.26,7.57,32.37,153.58,High,Medium
RSA,MacOS,2.57,8.85,46.51,171.37,Medium,Medium
RSA,iOS,5.86,3.93,9.94,483.18,High,Medium
DES,MacOS,9.12,6.65,9.48,128.46,High,Medium
Blowfish,Windows,9.38,4.48,8.23,277.01,Medium,Medium
RSA,iOS,9.8,4.36,31.57,30.72,High,Low
Blowfish,Android,1.75,2.83,6.44,44.47,High,Medium
RSA,Windows,1.06,7.36,47.75,277.35,High,Medium
DES,Windows,2.67,6.69,34.74,461.57,Medium,High
DES,iOS,2.45,7.79,32.8,113.02,Low,Medium
DES,iOS,5.21,3.61,28.34,216.33,Low,High
Blowfish,Linux,7.54,1.88,28.57,453.04,High,Low
DES,iOS,6.75,8.83,21.32,101.37,Medium,Medium
DES,Android,5.95,1.99,33.13,172.24,Medium,High
RSA,Android,5.23,2.84,47.75,116.41,High,Medium
Blowfish,MacOS,1.48,4.97,43.18,101.8,High,Medium
RSA,iOS,1.6,5.66,45.27,370.45,High,Medium
AES,Linux,8.4,1.29,19.69,372.44,Medium,Medium
AES,iOS,5.54,6.52,44.7,114.12,Medium,Low
AES,Android,5.08,9.89,48.53,151.61,Medium,Low
ECC,iOS,1.23,1.14,36.54,382.82,High,High
RSA,Linux,1.2,1.82,17.99,488.49,High,Low
RSA,MacOS,2.11,4.09,14.32,469.11,High,Medium
Blowfish,Linux,5.73,4.43,12.46,199.71,High,Medium
AES,MacOS,7.15,6.21,13.95,155.44,Medium,Low
DES,Windows,6.22,6.98,35.11,36.78,Low,High
RSA,Android,3.48,9.36,14.93,112.42,High,High
DES,Android,7.8,8.34,46.23,147.62,Medium,Medium
DES,Windows,5.72,6.86,12.9,267.92,High,Medium
DES,Linux,4.85,5.25,29.69,416.33,High,Medium
ECC,iOS,4.81,6.61,5.28,222.21,Low,High
ECC,MacOS,1.23,4.46,38.36,30.71,Medium,Low
DES,MacOS,2.27,7.85,48.81,14.8,Low,Medium
AES,MacOS,7.26,8.81,48.17,368.48,High,High
Blowfish,MacOS,6.03,8.92,26.94,467.58,Medium,High
Blowfish,iOS,6.17,9.41,34.21,428.2,Medium,Low
ECC,MacOS,6.98,0.88,32.86,223.56,Low,Medium
AES,Linux,9.31,5.68,13.42,343.85,Medium,Low
DES,Linux,5.09,7.33,29.67,12.96,High,Low
RSA,Linux,3.23,1.73,30.28,432.05,High,Low
RSA,MacOS,7.83,2.91,31.37,121.94,Low,Low
Blowfish,Linux,8.42,6.59,49.92,273.55,High,Medium
RSA,MacOS,6.95,5.31,8.19,197.36,Low,Low
DES,Linux,7.22,0.96,12.47,324.47,Medium,Medium
DES,iOS,3.07,6.22,20.73,340.69,Medium,Low
AES,MacOS,5.25,5.86,32.71,492.72,High,Low
RSA,MacOS,6.4,7.72,42.3,341.53,Low,High
DES,Windows,1.36,2.44,15.97,175.56,Medium,High
Blowfish,MacOS,9.88,2.43,21.52,256.31,Medium,Low
DES,iOS,7.95,6.81,22.32,105.84,Medium,Low
AES,iOS,2.75,4.96,32.29,154.74,Low,Low
RSA,Windows,1.15,5.86,37.83,413.37,Medium,High
RSA,iOS,2.85,9.69,43.99,158,Medium,High
RSA,Linux,6.03,4.21,15.14,45.18,Medium,High
Blowfish,iOS,1.01,1.7,16.79,136.72,Medium,Medium
AES,MacOS,8.23,8.81,21.91,305.43,Low,High
AES,Windows,6.81,8.22,13.45,72.55,Low,High
Blowfish,Windows,3.79,7.81,40.75,147.18,Low,Medium
RSA,MacOS,3.76,9.24,43.79,26.88,Low,Medium
DES,Android,6.52,7.36,40.05,257.87,High,High
RSA,iOS,1.54,5.87,23.22,358.24,Low,Low
AES,Linux,7.51,3.37,46.64,69.38,Medium,Low
RSA,iOS,1.26,5.94,49.28,270.23,Medium,High
RSA,MacOS,6.09,1.84,7.96,395.23,Medium,Medium
RSA,Android,8.5,5.07,8.2,51.74,Low,Medium
RSA,MacOS,6.32,7.77,19.92,405.26,High,Low
Blowfish,MacOS,4.7,1.44,27.17,216.64,Low,High
AES,Windows,5.19,8.6,36.7,145.77,Low,High
Blowfish,Windows,4.84,8.94,15.08,192.7,Low,Medium
Blowfish,Android,4.62,8.2,16.43,57.41,Low,Medium
Blowfish,Linux,2.57,7.06,17.1,15.87,Medium,High
DES,iOS,5.47,7.69,46.32,324.66,Medium,Low
ECC,Linux,2.66,8.99,31.86,145.01,High,High
RSA,Linux,1.51,3.45,38.27,147.02,Low,Low
DES,iOS,4.02,3.23,14.46,146.39,Medium,Medium
DES,Android,1.6,5.71,18.01,460.91,Low,Medium
ECC,Android,1.38,1.86,18.6,299.14,High,Low
ECC,Windows,4.98,3.16,37.89,161,Low,Medium
DES,Windows,2.46,4.19,25.67,470.83,Medium,Medium
Blowfish,MacOS,3.32,0.54,30.11,227.99,Low,High
RSA,iOS,1.79,1.72,23.81,440.36,Medium,Medium
RSA,iOS,0.84,8.96,34.01,446.7,Medium,Medium
ECC,MacOS,2.24,3.97,34.64,80.31,High,High
AES,Windows,4.36,5.55,6.37,271.57,High,Medium
RSA,iOS,9.07,2.82,46.2,271.04,High,Low
AES,MacOS,7.12,9.83,12.63,129.84,High,High
Blowfish,Android,1.17,1.47,24.76,259.33,High,Medium
RSA,Windows,4.78,9.64,44.62,312.62,Low,Medium
DES,Windows,9.28,8.55,7,126.54,Low,High
DES,MacOS,1.79,6.24,29.33,349.83,High,Low
RSA,Android,7.56,5.44,44.83,13.46,High,High
Blowfish,Windows,9.47,4.62,35.83,213.61,Low,High
DES,iOS,6.31,8.72,10.49,13.47,Medium,Low
RSA,Windows,8.44,3.86,13.61,493.95,Medium,Medium
AES,Linux,4.59,3.84,31.16,429.03,Medium,High
Blowfish,Linux,7.94,9.95,39.68,131.86,Low,High
Blowfish,Windows,3.63,7.24,38.11,84.84,Medium,Low
RSA,MacOS,9.69,7.04,39.12,186.87,High,High
DES,iOS,6.68,9.98,44.24,96.75,High,Medium
AES,Windows,3.05,3.17,34.13,16.33,Low,Medium
ECC,Windows,9.44,4.77,9.41,260.08,High,High
ECC,Windows,2.16,0.5,26.28,416.14,High,Low
DES,Android,7.55,8.95,48.15,37.19,Low,High
Blowfish,Android,2.66,8.16,10.55,385.59,Low,Medium
Blowfish,Android,3.29,5.79,36.76,87.56,Medium,High
Blowfish,Linux,9.39,1.24,32.35,264.76,High,Medium
ECC,Windows,9.69,3.43,20.96,131.82,Medium,Medium
AES,Android,6.89,5.71,12,214.45,Medium,High
AES,Linux,8.49,5.14,25.66,222.69,Medium,High
Blowfish,MacOS,2.07,6.66,44.43,117.01,Medium,Low
ECC,Windows,0.58,7.42,48.83,162.17,High,High
ECC,Android,1.13,9.13,28.7,324.17,Medium,High
RSA,iOS,3.99,5.35,19.87,398.19,Low,High
DES,MacOS,2.54,1.01,17.89,98.75,High,Medium
AES,MacOS,2.91,6.55,9.69,249.5,High,High
Blowfish,Android,8.31,8.14,14.96,426.68,Low,High
ECC,Windows,7.06,1.83,46.97,394.88,Low,High
ECC,iOS,6.68,4.63,45.57,313.46,High,Low
DES,Linux,2.54,5.36,18.79,46.55,Low,Medium
DES,Windows,6,9.32,44.26,51.72,Medium,Low
RSA,Linux,2.73,3.71,19.4,185.61,High,Medium
AES,MacOS,5.39,2.49,18.14,53.97,Medium,Low
Blowfish,MacOS,4.33,4.02,41.02,316.78,Medium,High
RSA,iOS,7.89,9.15,32.56,34.3,High,High
